id,sexo,idade,modalidade,min_af_semana,imc,perc_gordura,vo2max,ativo
E001,Feminino,25,Coletivos,165,17.3,19.6,45.4,Sim
E002,Masculino,26,Coletivos,197,26.9,20.5,41.5,Sim
E003,Masculino,21,Musculação,301,23,18.8,47.7,Sim
E004,Masculino,22,Nenhuma,18,25.2,20.5,46.3,Não
E005,Feminino,26,Coletivos,65,21.9,25.8,44.5,Não
E006,Feminino,23,Corrida,166,22.8,24.9,42.7,Sim
E007,Feminino,29,Musculação,218,25.9,25,46.4,Sim
E008,Masculino,25,Musculação,185,25,9.2,52.8,Sim
E009,Feminino,26,Coletivos,350,22.1,26,48.2,Sim
E010,Masculino,31,Musculação,89,19.2,19.1,NA,Não
E011,Masculino,26,Corrida,487,26.7,16.6,55.9,Sim
E012,Feminino,26,Musculação,327,24.6,29.6,51.8,Sim
E013,Feminino,21,Corrida,136,16,14.6,57.3,Não
E014,Masculino,23,Musculação,77,17.7,7.1,47.7,Não
E015,Feminino,29,Corrida,123,20.9,23.1,47.2,Não
E016,Feminino,20,Coletivos,140,23.9,26,43.4,Não
E017,Feminino,24,Nenhuma,2,18,22.5,47.2,Não
E018,Feminino,22,Corrida,200,24.5,23.7,44.8,Sim
E019,Masculino,26,Corrida,58,24.7,25.8,40.9,Não
E020,Masculino,18,Musculação,195,27,15.7,47.6,Sim
E021,Masculino,28,Nenhuma,1,26.2,16.2,39.5,Não
E022,Masculino,26,Nenhuma,94,25.4,20.1,42.6,Não
E023,Masculino,27,Coletivos,150,25.1,18.1,39.6,Sim
E024,Feminino,24,Corrida,109,29.5,21.8,40,Não
E025,Feminino,24,Musculação,139,25.8,28.5,37.5,Não
E026,Masculino,30,Nenhuma,12,25.7,18,43.8,Não
E027,Masculino,22,Coletivos,152,17.4,12,53.8,Sim
E028,Feminino,28,Corrida,205,26.2,28,42.3,Sim
E029,Masculino,27,Coletivos,385,22.1,14.9,51.1,Sim
E030,Feminino,26,Coletivos,197,21.8,23.8,44.5,Sim
E031,Feminino,20,Corrida,455,20.1,19.5,NA,Sim
E032,Feminino,29,Nenhuma,74,25.2,28.5,42.2,Não
E033,Feminino,19,Coletivos,54,30.6,39.1,34.1,Não
E034,Masculino,23,Corrida,183,27,17.8,54.1,Sim
E035,Masculino,21,Corrida,132,23.3,18.4,45.5,Não
E036,Masculino,22,Corrida,189,26.4,19,47.3,Sim
E037,Masculino,19,Musculação,168,25,21.2,50.8,Sim
E038,Masculino,25,Nenhuma,3,25.5,19.4,41.5,Não
E039,Feminino,20,Musculação,212,19.2,20.7,47.7,Sim
E040,Masculino,20,Nenhuma,15,23.1,15.3,54.9,Não
E041,Masculino,27,Coletivos,368,27.1,20.6,NA,Sim
E042,Feminino,28,Coletivos,121,31.4,31.4,40.1,Não
